WeekEndDate,LTLA,Lineage,Count,day,lat,lon
2020-09-19,E07000198,B.1.177,1,15.0,53.069241,-1.99334
2020-09-19,E07000199,B.1.177,1,15.0,52.620312,-1.68451
2020-09-19,E07000209,B.1.177,1,15.0,51.253658,-0.56257
2020-09-19,E07000212,B.1.177,2,15.0,51.392731,-0.53855
2020-09-19,E07000213,B.1.177,1,15.0,51.41552,-0.46254
2020-09-19,E07000219,B.1.177,1,15.0,52.500938,-1.47965
2020-09-19,E07000225,B.1.177,1,15.0,50.941769,-0.7163
2020-09-19,E07000229,B.1.177,1,15.0,50.833099,-0.40127
2020-09-19,E08000001,B.1.177,7,15.0,53.584492,-2.47952
2020-09-19,E08000002,B.1.177,1,15.0,53.593102,-2.3088
2020-09-19,E08000003,B.1.177,11,15.0,53.470089,-2.23359
2020-09-19,E08000004,B.1.177,2,15.0,53.557678,-2.05274
2020-09-19,E08000005,B.1.177,3,15.0,53.60741,-2.14784
2020-09-19,E08000006,B.1.177,3,15.0,53.479271,-2.38485
2020-09-19,E08000007,B.1.177,4,15.0,53.391159,-2.12467
2020-09-19,E08000008,B.1.177,1,15.0,53.478668,-2.077
2020-09-19,E08000009,B.1.177,2,15.0,53.41671,-2.36572
2020-09-19,E08000010,B.1.177,8,15.0,53.51445,-2.57247
2020-09-19,E08000011,B.1.177,16,15.0,53.437881,-2.83297
2020-09-19,E08000012,B.1.177,33,15.0,53.408298,-2.91364
2020-09-19,E08000013,B.1.177,7,15.0,53.458618,-2.7031
2020-09-19,E08000014,B.1.177,17,15.0,53.482101,-2.99177
2020-09-19,E08000015,B.1.177,15,15.0,53.374779,-3.06701
2020-09-19,E08000018,B.1.177,1,15.0,53.395531,-1.28651
2020-09-19,E08000019,B.1.177,2,15.0,53.40358,-1.54254
2020-09-19,E08000021,B.1.177,2,15.0,55.021011,-1.65297
2020-09-19,E08000022,B.1.177,8,15.0,55.028961,-1.50923
2020-09-19,E08000023,B.1.177,13,15.0,54.969879,-1.44679
2020-09-19,E08000024,B.1.177,5,15.0,54.857189,-1.43344
2020-09-19,E08000025,B.1.177,11,15.0,52.484039,-1.88141
2020-09-19,E08000026,B.1.177,1,15.0,52.41423,-1.51908
2020-09-19,E08000028,B.1.177,2,15.0,52.514771,-2.00771
2020-09-19,E08000029,B.1.177,1,15.0,52.431,-1.71558
2020-09-19,E08000032,B.1.177,5,15.0,53.843819,-1.87389
2020-09-19,E08000035,B.1.177,5,15.0,53.822731,-1.50736
2020-09-19,E08000036,B.1.177,2,15.0,53.659222,-1.42092
2020-09-19,E09000006,B.1.177,2,15.0,51.372662,0.039246
2020-09-19,E09000013,B.1.177,1,15.0,51.487331,-0.21735
2020-09-19,E09000016,B.1.177,1,15.0,51.565189,0.235368
2020-09-19,E09000019,B.1.177,1,15.0,51.54546,-0.10989
2020-09-19,E09000024,B.1.177,1,15.0,51.41058,-0.18868
2020-09-19,E09000025,B.1.177,2,15.0,51.53149,0.027261
2020-09-19,E09000026,B.1.177,3,15.0,51.58588,0.070085
2020-09-19,E09000028,B.1.177,1,15.0,51.465939,-0.07308
2020-09-19,E09000030,B.1.177,2,15.0,51.515541,-0.03647
2020-09-19,E09000031,B.1.177,1,15.0,51.594608,-0.0188
2020-09-19,E09000032,B.1.177,2,15.0,51.4524,-0.20021
2020-09-19,E09000033,B.1.177,2,15.0,51.512211,-0.15295
2020-09-26,E06000001,B.1.177,4,22.0,54.67614,-1.27018
2020-09-26,E06000002,B.1.177,1,22.0,54.54467,-1.21099
2020-09-26,E06000004,B.1.177,2,22.0,54.556911,-1.30664
2020-09-26,E06000006,B.1.177,18,22.0,53.33424,-2.68853
2020-09-26,E06000007,B.1.177,11,22.0,53.391628,-2.56167
2020-09-26,E06000008,B.1.177,2,22.0,53.700802,-2.4636
2020-09-26,E06000009,B.1.177,1,22.0,53.82164,-3.02199
2020-09-26,E06000010,B.1.177,2,22.0,53.769199,-0.30382
2020-09-26,E06000011,B.1.177,4,22.0,53.881119,-0.66195
2020-09-26,E06000014,B.1.177,1,22.0,53.96582,-1.07375
2020-09-26,E06000016,B.1.177,3,22.0,52.635921,-1.1304
2020-09-26,E06000018,B.1.177,3,22.0,52.954189,-1.16667
2020-09-26,E06000019,B.1.177,1,22.0,52.081539,-2.73931
2020-09-26,E06000020,B.1.177,1,22.0,52.714169,-2.48941
2020-09-26,E06000022,B.1.177,4,22.0,51.356041,-2.48654
2020-09-26,E06000023,B.1.177,4,22.0,51.471149,-2.57742
2020-09-26,E06000024,B.1.177,2,22.0,51.39706,-2.75438
2020-09-26,E06000025,B.1.177,6,22.0,51.54673,-2.46922
2020-09-26,E06000026,B.1.177,3,22.0,50.404942,-4.11297
2020-09-26,E06000032,B.1.177,1,22.0,51.891022,-0.42319
2020-09-26,E06000033,B.1.177,1,22.0,51.549171,0.706923
2020-09-26,E06000034,B.1.177,2,22.0,51.509979,0.334861
2020-09-26,E06000035,B.1.177,4,22.0,51.44772,0.563174
2020-09-26,E06000036,B.1.177,2,22.0,51.411301,-0.73363
2020-09-26,E06000037,B.1.177,1,22.0,51.445591,-1.27364
2020-09-26,E06000039,B.1.177,2,22.0,51.503502,-0.57617
2020-09-26,E06000041,B.1.177,1,22.0,51.422958,-0.89935
2020-09-26,E06000044,B.1.177,1,22.0,50.807999,-1.07006
2020-09-26,E06000045,B.1.177,1,22.0,50.9212,-1.39952
2020-09-26,E06000047,B.1.177,7,22.0,54.685131,-1.8405
2020-09-26,E06000049,B.1.177,6,22.0,53.167931,-2.29299
2020-09-26,E06000050,B.1.177,8,22.0,53.163361,-2.70298
2020-09-26,E06000054,B.1.177,3,22.0,51.328831,-1.92661
2020-09-26,E06000055,B.1.177,2,22.0,52.196281,-0.45463
2020-09-26,E06000057,B.1.177,3,22.0,55.300369,-2.07523
2020-09-26,E06000059,B.1.177,2,22.0,50.79697,-2.41467
2020-09-26,E07000004,B.1.177,1,22.0,,
2020-09-26,E07000006,B.1.177,1,22.0,,
2020-09-26,E07000007,B.1.177,1,22.0,,
2020-09-26,E07000026,B.1.177,2,22.0,54.685242,-3.2809
2020-09-26,E07000027,B.1.177,4,22.0,54.15731,-3.1999
2020-09-26,E07000028,B.1.177,1,22.0,54.978329,-2.80498
2020-09-26,E07000032,B.1.177,1,22.0,53.028839,-1.46219
2020-09-26,E07000036,B.1.177,1,22.0,52.938202,-1.3509
2020-09-26,E07000038,B.1.177,1,22.0,53.16243,-1.44253
2020-09-26,E07000044,B.1.177,2,22.0,50.371948,-3.81996
2020-09-26,E07000045,B.1.177,1,22.0,50.60981,-3.65289
2020-09-26,E07000064,B.1.177,1,22.0,50.948711,0.542937
2020-09-26,E07000066,B.1.177,7,22.0,51.590359,0.475055
2020-09-26,E07000068,B.1.177,1,22.0,51.641079,0.290091
2020-09-26,E07000069,B.1.177,1,22.0,51.561588,0.588084
2020-09-26,E07000070,B.1.177,1,22.0,51.735031,0.491177
2020-09-26,E07000077,B.1.177,1,22.0,51.935921,0.294485
2020-09-26,E07000078,B.1.177,3,22.0,51.898609,-2.07515
2020-09-26,E07000081,B.1.177,2,22.0,51.846409,-2.23263
2020-09-26,E07000084,B.1.177,2,22.0,51.259369,-1.22021
2020-09-26,E07000088,B.1.177,2,22.0,50.806358,-1.16731
2020-09-26,E07000089,B.1.177,1,22.0,51.281971,-0.88321
2020-09-26,E07000092,B.1.177,1,22.0,51.278149,-0.76807
2020-09-26,E07000094,B.1.177,1,22.0,51.030022,-1.24393
2020-09-26,E07000103,B.1.177,1,22.0,51.6717,-0.40429
2020-09-26,E07000106,B.1.177,1,22.0,51.281021,1.096342
2020-09-26,E07000108,B.1.177,2,22.0,51.211761,1.276887
2020-09-26,E07000113,B.1.1.7,1,22.0,51.32251,0.776893
2020-09-26,E07000113,B.1.177,1,22.0,51.32251,0.776893
2020-09-26,E07000114,B.1.177,1,22.0,51.35252,1.328226
2020-09-26,E07000117,B.1.177,1,22.0,53.774059,-2.2308
2020-09-26,E07000118,B.1.177,2,22.0,53.672401,-2.61921
2020-09-26,E07000119,B.1.177,1,22.0,53.797089,-2.91914
2020-09-26,E07000120,B.1.177,2,22.0,53.756481,-2.38964
2020-09-26,E07000121,B.1.177,4,22.0,54.07901,-2.6603
2020-09-26,E07000122,B.1.177,2,22.0,53.88636,-2.18957
2020-09-26,E07000123,B.1.177,2,22.0,53.822021,-2.71809
2020-09-26,E07000124,B.1.177,1,22.0,53.9245,-2.4174
2020-09-26,E07000125,B.1.177,1,22.0,53.68478,-2.26149
2020-09-26,E07000127,B.1.177,7,22.0,53.612831,-2.86893
2020-09-26,E07000128,B.1.177,1,22.0,53.89991,-2.80359
2020-09-26,E07000138,B.1.177,2,22.0,53.219212,-0.55848
2020-09-26,E07000141,B.1.177,1,22.0,52.84885,-0.49565
2020-09-26,E07000148,B.1.177,1,22.0,52.640129,1.284979
2020-09-26,E07000163,B.1.177,1,22.0,54.053761,-2.16168
2020-09-26,E07000165,B.1.177,1,22.0,54.07708,-1.58161
2020-09-26,E07000166,B.1.177,1,22.0,54.357609,-1.98552
2020-09-26,E07000167,B.1.177,1,22.0,54.200211,-0.84277
2020-09-26,E07000168,B.1.177,1,22.0,54.3465,-0.52778
2020-09-26,E07000171,B.1.177,2,22.0,53.356041,-0.9787
2020-09-26,E07000173,B.1.177,2,22.0,53.024342,-1.11907
2020-09-26,E07000174,B.1.177,1,22.0,53.16703,-1.17804
2020-09-26,E07000178,B.1.177,2,22.0,51.753571,-1.24405
2020-09-26,E07000179,B.1.177,1,22.0,51.622879,-1.07847
2020-09-26,E07000180,B.1.177,1,22.0,51.65443,-1.48543
